"Subsection Code","Section","Subsection","Metadata"
"8.3.1","Policy Regarding the Release","User access code",""
"9.0","Frequency Disseminated  Data","Frequency of dissemniation",""
"9.1","Frequency Disseminated  Data","Dissemination code",""
"10.0","Means of Dissemination","Dissemination format","Web data portal, Comma-Separated Values (csv) files. Web data portal, Comma-Separated Values (csv) files."
"10.1","Means of Dissemination","News release",""
"10.2","Means of Dissemination","Publications","1) UN, 2012. System of Environmental-Economic Accounting 2012, Central Framework. United Nations, European Commission, Food and Agriculture Organization of the United Nations, International Monetary Fund, Organisation for Economic Co-operation and Development, the World Bank. Available from: http://unstats.un.org/unsd/envaccounting/seeaRev/SEEA_CF_Final_en.pdf. 2) FAO, 2016. SEEA Agriculture, Forestry and Fisheries. Prepared by the Food and Agriculture Organization of the United Nations and the United Nations Statistics Division under the auspices of the UN Committee of Experts on Environmental-Economic Accounting. Presented at the Statistical Commission, Forty-seventh session, 8–11 March 2016; Item 3(e) of the provisional agenda. Environmental-economic accounting. Available from: http://unstats.un.org/unsd/statcom/47th-session/documents/BG-2016-8-SEEA-Agriculture-E.pdf. 3) Di Gregorio, A. Land Cover Classification System (LCCS): Classification concepts and user manual for software version 2.0. FAO, Food and Agriculture Organization of the United Nations: Rome, Italy, 2005. Available from: http://www.fao.org/docrep/008/y7220e/y7220e00.htm.  4) Friedl, M. A.; Sulla-Menashe, D.; Tan, B.; Schneider, A.; Ramankutty, N.; Sibley, A.; Huang, X. MODIS Collection 5 global land cover: Algorithm refinements and characterization of new datasets. Remote Sensing of Environment 2010, 114 (1), 168–182. 5) Loveland, T.; Belward, A. The international geosphere biosphere programme data and information system global land cover data set (DISCover). Acta Astronautica 1997, 41 (4), 681–689.6) Land Cover CCI Product User Guide Version 2.0.  UCL Geomatic (Université catholique de Louvain; Friederich-Schille-Universität Jena; Wageningen University; Max-Planck-Institut für Meteorologie; JRC European Commission; Met Office. Deliverable ref: D3.3. Belgium, 2017. Available from: http://maps.elie.ucl.ac.be/CCI/viewer/download/ESACCI-LC-Ph2-PUGv2_2.0.pdf."
"10.3","Means of Dissemination","Means of Dissemination","FAOSTAT data platform under the Agri-Environmental Indicators – Land Cover (LC) domain:http://www.fao.org/faostat/en/#data"
"10.4","Means of Dissemination","Micro-data access","No micro data."
"10.5","Means of Dissemination","Other",""
"11.1","Availability of National Reference","Documentation on methodology","Details on the methodology can be accessed in the Related Documents section at:  http://fenixservices.fao.org/faostat/static/documents/LC/LC_e.pdf"
"11.2","Availability of National Reference","Quality documentation",""
"12.0","Management System FAO","Quality management",""
"12.1","Management System FAO","Quality assurance","The FAO Statistics Quality Assurance Framework is available at:http://www.fao.org/docrep/019/i3664e/i3664e.pdf."
"12.2","Management System FAO","Quality assessment",""
"13.1","Classification Users","User needs","Land cover information organised by the land cover categories of the SEEA CF and of the SEEA AFF can be used to prepare physical asset accounts of land cover. It is also used internally for QA/QC of the Land Use domain."
"13.2","Classification Users","User satisfaction",""
"13.3","Classification Users","Completeness",""
"14.1","Main Sources of Error","Overall accuracy","Overall accuracy is not assessed, it combines accuracy of the global land cover maps used as source of land cover information and accuracy of other FAOSTAT data used in the methodology. IPCC defines FAOSTAT statistics as reasonably accurate (IPCC, 2001. Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories)."
"14.2","Main Sources of Error","Sampling error","No information available."
"14.3","Main Sources of Error","Non-sampling error","No information available."
"15.1","Timeliness and punctuality","Timeliness",""
"15.2","Timeliness and punctuality","Punctuality",""
"16.1","Comparability Between Countries or Regions","Comparability - geographical","The SEEA Land Cover classification has full geographical comparability."
"16.1.1","Comparability Between Countries or Regions","Code - geographical comparability",""
"16.2","Comparability Between Countries or Regions","Comparability - over time","Not assessed."
"16.2.1","Comparability Between Countries or Regions","Code - time Comparability",""
"17.1","Differences of the statistical outputs","Coherence - cross domain",""
"17.1.1","Differences of the statistical outputs","Code - cross domain coherence","Cross-domain coherence is checked routinely through QA/QC processes. Land Cover data are regularly compared for coherence with other FAOSTAT domains, particularly domain on Land Use information."
"17.2","Differences of the statistical outputs","Coherence - internal",""
"18.0","Cost associated","Cost and Burden","FAO activities supported by regular funding."
"19.1","General revision policy","Data revision - policy","Yearly, based on availability of new information."
"19.2","General revision policy","Data revision - practice",""
"20.1","Identification Data","Source data","The UN SEEA Central Framework is the souce of the land cover classification.  Geospatial sources of land cover information are the following Global Land Cover maps:  1)	The IGBP-MODIS-derived land cover product, available for the years 2001–2012 (Friedl et al., 2010) — spatial resolution 500m. 2)	The land cover maps produced by the Université Catholique de Louvain (UCL) Geomatics under the Climate Change initiatives (CCI) of the European Spatial Agency (ESA), available annually for the years 1992–2015. CCI-LC maps — spatial resolution 300m."
"20.1.1","Identification Data","Code - Origin fro predominate  source data",""
"20.1.2","Identification Data","Code - type of data",""
"20.2","Identification Data","Frequency of data collection",""
"20.3","Identification Data","Code - Type and purpose of data collection",""
"20.4","Identification Data","Data validation","QA/QC procedures are in place to check for errors during the geoprocessing of land cover information, data consistency and completeness."
"20.5","Identification Data","Data compilation","Data in the land cover domain are compiled based on geoprocessing methods.Country aggregates are extracted using the UN, FAO Global Administrative Unit Layers  GAUL(version 2014) available from: http://www.fao.org/geonetwork/srv/en/metadata.show?id=12691 GAUL country codes are mapped to FAOSTAT codes taking into account the administrative changes during the period of the analysis."
"20.5.1","Identification Data","Code for type of processing",""
"20.5.2","Identification Data","Imputation rate (frequency and value)",""
"20.5.3","Identification Data","Coverage rate",""
"20.6","Identification Data","Adjustment",""
"21.0","Comment","Comment","The FAOSTAT domain “Land Cover” in the Agri-Environmental Indicators section is developed and maintained by the Environmental Statistics Team, FAO Statistics Division (ESS), with Regular Programme Funding under O6 and SO2."
